tool	Vampire 5.0.0	Vampire 5.0.0	Vampire 5.0.0	Vampire 5.0.0	Vampire 5.0.0	Vampire 5.0.0	Vampire 5.0.1	Vampire 5.0.1	Vampire 5.0.1	Vampire 5.0.1	Vampire 5.0.1	Vampire 5.0.1
run set	fol-smoke.buffy.discount.0	fol-smoke.buffy.discount.0	fol-smoke.buffy.discount.0	fol-smoke.buffy.discount.0	fol-smoke.buffy.discount.0	fol-smoke.buffy.discount.0	fol-smoke.master.discount.0	fol-smoke.master.discount.0	fol-smoke.master.discount.0	fol-smoke.master.discount.0	fol-smoke.master.discount.0	fol-smoke.master.discount.0
/home/jack/Desktop/tuWien/vbenchmarking/TPTP/Problems/	status	szs-status	cputime (s)	walltime (s)	memory (MB)	instruction-count	status	szs-status	cputime (s)	walltime (s)	memory (MB)	instruction-count
SET/SET326-6.p	TIMEOUT		7.363686	30.13513421700918	42.266624	0	TIMEOUT		7.407858	30.084629823002615	149.483520	0
FLD/FLD065-1.p	TIMEOUT		29.961273	30.043113241990795	65.454080	0	true	Unsatisfiable	0.928448	0.9384822319989325	42.758144	0
ANA/ANA009-2.p	true	Unsatisfiable	0.050346	0.05380527499073651	32.239616	0	true	Unsatisfiable	0.008585	0.018201495986431837	3.313664	0
SWV/SWV246-1.p	true	Unsatisfiable	0.712315	0.724274902997422	33.812480	0	true	Unsatisfiable	0.029236	0.052086940995650366	3.575808	0
HEN/HEN006-4.p	true	Unsatisfiable	0.294685	0.31038980100129265	32.501760	0	true	Unsatisfiable	0.010039	0.023180655000032857	1.589248	0
GRP/GRP548-1.p	true	Unsatisfiable	1.802652	1.8417065440007718	33.849344	0	true	Unsatisfiable	0.030009	0.0361772350006504	2.883584	0
GRP/GRP374-1.p	true	Unsatisfiable	0.37706	0.39004435199603904	32.755712	0	true	Unsatisfiable	0.012629	0.028671312000369653	1.843200	0
GEO/GEO053-3.p	true	Unsatisfiable	0.732136	0.7505414870101959	33.280000	0	true	Unsatisfiable	0.024125	0.03544151499227155	2.088960	0
KLE/KLE142+2.p	true	Theorem	23.815932	23.84302012300759	46.125056	0	true	Theorem	0.285688	0.313027965996298	15.253504	0
ITP/ITP008+5.p	TIMEOUT		29.91067	30.058997783999075	94.904320	0	TIMEOUT		30.006164	30.081865735002793	610.029568	0
SWV/SWV215+1.p	true	Theorem	0.123837	0.14583707599376794	32.501760	0	true	Theorem	0.00889	0.024035483991610818	1.589248	0
GEO/GEO114+1.p	TIMEOUT		7.249639	30.151261051010806	38.936576	0	TIMEOUT		30.038301	30.067429227987304	526.565376	0
GEO/GEO082+1.p	TIMEOUT		29.961817	30.048730620997958	51.564544	0	true	Theorem	4.611992	18.868750528999954	62.681088	0
KLE/KLE022+4.p	true	Theorem	0.432818	0.4506766509875888	32.755712	0	true	Theorem	0.013283	0.02553417399758473	1.589248	0
NUM/NUM505+1.p	true	Theorem	0.613857	0.6269896400044672	33.284096	0	true	Theorem	0.018346	0.029738301993347704	2.367488	0
NUM/NUM621+1.p	TIMEOUT		30.022391	30.064521081993007	66.834432	0	true	Theorem	2.47079	2.482414277998032	96.722944	0
ITP/ITP294_1.p	TIMEOUT		7.291921	30.134738890003064	44.539904	0	TIMEOUT		30.04965	30.081797869992442	637.337600	0
NUM/NUM885_1.p	TIMEOUT		29.968386	30.0539703520044	52.187136	0	TIMEOUT		30.036777	30.073157414997695	602.808320	0
ARI/ARI029_1.p	true	Theorem	0.039617	0.05134941099095158	32.288768	0	true	Theorem	0.007443	0.04046662901237141	1.167360	0
ITP/ITP397_10.p	TIMEOUT		30.019492	30.058671900987974	61.554688	0	TIMEOUT		7.257488	30.1214317069971	209.559552	0
ITP/ITP261_2.p	TIMEOUT		29.971426	30.056062702991767	77.877248	0	TIMEOUT		30.044997	30.07855738599028	674.578432	0
SWW/SWW563_5.p	TIMEOUT		7.249404	30.14480182499392	37.216256	0	TIMEOUT		30.007366	30.044935238009202	280.944640	0
SWV/SWV747_5.p	TIMEOUT		30.003733	30.053492869003094	58.081280	0	TIMEOUT		7.247152	30.1305374460062	239.693824	0
PUZ/PUZ139_1.p	true	Theorem	0.038526	0.05229953800153453	32.239616	0	true	Theorem	0.006351	0.021925439010374248	1.064960	0
NUM/NUM695_8.p	true	Theorem	0.041926	0.1536961639940273	32.276480	0	true	Theorem	0.005913	0.016435206998721696	1.064960	0
SWW/SWW976_1.p	ERROR (4)		0.048011	0.05962735899083782	32.239616	0	OUT OF MEMORY		13.846453	13.986634848988615	8000.000000	0
SYO/SYO346_8.p	true	Theorem	0.037434	0.05101578199537471	32.239616	0	true	Theorem	0.006479	0.02379463099350687	1.318912	0
SEU/SEU503_8.p	true	Theorem	0.039323	0.1466617490077624	32.186368	0	true	Theorem	0.006695	0.027102359003038146	1.318912	0
ITP/ITP207_4.p	TIMEOUT		29.947159	30.04727518701111	78.057472	0	TIMEOUT		29.964767	30.068684348996612	567.099392	0
ITP/ITP246_4.p	TIMEOUT		7.346988	30.16442574300163	56.881152	0	TIMEOUT		30.026865	30.0651655929978	574.148608	0
SWW/SWW699_1.p	true	Theorem	0.296849	0.30425796200870536	32.808960	0	true	Theorem	0.013729	0.06823580899799708	1.572864	0
ITP/ITP293_4.p	TIMEOUT		30.030869	30.06163586000912	85.327872	0	TIMEOUT		9.130751	30.08061975700548	261.218304	0
